	chemistry	multidisciplinary	physics	biology (organismic & supraorganismic level)	clinical and experimental medicine	engineering	agriculture & environment	geociences & space sciences	biomedical research	biosciences (general cellular&subcellular biology; genetics)
Public university	1221	0	571	1242	1029	471	162	0	0	0
Air Transport	824	0	109	271	276	383	2	0	0	0
Computer hardware	46	0	99	0	15	1451	3	12	0	0
Computer software	42	0	90	0	42	1026	0	12	0	0
Cloud computing	42	0	30	0	12	960	0	12	0	0
Artificial intelligence	42	0	30	0	12	924	0	12	0	0
Energy industry	645	0	48	27	24	84	15	12	0	0
Conglomerate (company)	248	0	111	13	47	307	0	0	0	0
Fast moving consumer goods	282	0	12	60	162	42	60	0	6	0
Automotive industry	247	0	92	9	54	156	9	0	4	0
Software	14	0	20	2	5	509	3	0	0	0
Chemical industry	394	0	4	65	22	4	62	0	0	0
Oilfield	316	0	18	0	9	81	3	48	0	0
Automotive	290	2	47	2	29	83	2	0	0	0
Information technology consulting	3	0	9	0	3	428	3	0	0	0
IT service management	3	0	9	0	3	423	3	0	0	0
Cosmetics	72	0	0	30	228	6	3	0	6	0
Pharmaceutical industry	28	0	3	28	270	9	3	0	3	0
Telecommunications equipment	0	0	34	0	0	308	0	0	0	0
Medical devices	27	0	3	15	252	9	0	0	3	0
Consumer products	27	0	3	15	252	9	0	0	3	0
Networking equipment	0	0	18	0	0	288	0	0	0	0
Home appliance	97	0	28	13	42	107	0	0	0	0
Aerospace	62	0	43	0	18	147	0	0	0	0
Agriculture	55	0	0	106	40	10	56	0	0	0
Arms industry	66	0	39	1	18	137	0	0	0	0
Industrial machinery	120	0	40	6	22	56	6	0	4	0
Agricultural research	55	0	0	100	40	10	40	0	0	0
Pharmaceuticals	9	0	0	45	167	2	15	0	0	0
Petrochemical	180	0	12	33	0	12	0	0	0	0